0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090521,0.000000,0.091458,0.000000
0.060000,0.000000,0.000199,0.000000,-0.000199,0.000000,0.000054,0.171237,0.000000,0.172957,0.000000
0.080000,0.000004,0.000890,-0.000004,-0.000893,0.000001,0.000248,0.244453,0.000000,0.246832,0.000000
0.100000,0.000022,0.002249,-0.000022,-0.002269,0.000006,0.000644,0.311938,0.000000,0.314873,0.000000
0.120000,0.000067,0.004373,-0.000067,-0.004448,0.000019,0.001288,0.374982,0.000000,0.378387,0.000000
0.140000,0.000154,0.007307,-0.000156,-0.007511,0.000045,0.002219,0.434524,0.000000,0.438319,0.000000
0.160000,0.000300,0.011054,-0.000306,-0.011508,0.000089,0.003468,0.491233,0.000000,0.495348,0.000000
0.180000,0.000521,0.015581,-0.000537,-0.016467,0.000158,0.005063,0.545578,0.000000,0.549948,0.000000
0.200000,0.000833,0.020830,-0.000866,-0.022395,0.000260,0.007030,0.597869,0.000000,0.602432,0.000000
0.220000,0.001250,0.026714,-0.001314,-0.029283,0.000400,0.009392,0.648297,0.000000,0.652992,0.000000
0.240000,0.001784,0.033123,-0.001899,-0.037099,0.000588,0.012168,0.696955,0.000000,0.701726,0.000000
0.260000,0.002446,0.039925,-0.002641,-0.045796,0.000832,0.015375,0.743865,0.000000,0.748655,0.000000
0.280000,0.003245,0.046969,-0.003557,-0.055305,0.001139,0.019027,0.788991,0.000050,0.793746,0.000000
0.300000,0.004184,0.054085,-0.004663,-0.065537,0.001520,0.023133,0.831192,0.006950,0.834996,0.000201
0.320000,0.005266,0.059464,-0.005974,-0.074617,0.001982,0.027684,0.864954,0.019038,0.867997,0.006795
0.340000,0.006455,0.063558,-0.007467,-0.082361,0.002536,0.032605,0.891963,0.034946,0.894398,0.018176
0.360000,0.007726,0.066953,-0.009114,-0.088514,0.003188,0.037831,0.913571,0.053567,0.915518,0.033046
0.380000,0.009066,0.070252,-0.010884,-0.092830,0.003945,0.043302,0.930856,0.074063,0.932415,0.050415
0.400000,0.010471,0.074014,-0.012741,-0.095110,0.004811,0.048967,0.944685,0.095805,0.945932,0.069537
0.420000,0.011951,0.078731,-0.014643,-0.095213,0.005790,0.054781,0.955748,0.118321,0.956745,0.089852
