35	9.71		180000		6.48e-04  7.39e+00  1.01e+02  2.82e+03
65	13.92		330000		6.48e-04  9.58e+00  2.99e+02  1.21e+04
66	14.18		335000		6.48e-04  1.04e+01  2.85e+02  1.24e+04
36	10.10		185000		6.48e-04  4.44e+00  7.49e+01  1.42e+03
67	14.39		340000		6.48e-04  9.25e+00  2.57e+02  1.20e+04
37	10.45		190000		6.48e-04  3.91e+00  6.85e+01  1.47e+03
68	14.62		345000		6.48e-04  2.06e+00  5.37e+01  1.46e+03
69	14.87		350000		6.48e-04  9.94e+00  2.47e+02  1.11e+04
38	10.85		195000		6.48e-04  3.52e+00  6.53e+01  1.55e+03
70	15.9		355000		6.48e-04  1.33e+01  3.57e+02  1.25e+04
39	11.23		200000		6.48e-04  5.10e+00  8.07e+01  1.47e+03
71	15.34		360000		6.48e-04  1.02e+01  2.66e+02  1.23e+04
72	15.55		365000		6.48e-04  1.08e+01  3.07e+02  1.26e+04
40	11.60		205000		6.48e-04  7.63e+00  1.83e+02  1.16e+04
73	15.78		370000		6.48e-04  1.63e+01  3.57e+02  1.26e+04
74	16.4		375000		6.48e-04  1.00e+01  2.86e+02  1.23e+04
41	12.1		210000		6.48e-04  8.88e+00  1.93e+02  1.20e+04
75	16.25		380000		6.48e-04  1.06e+01  2.73e+02  1.23e+04
42	12.39		215000		6.48e-04  1.22e+01  2.71e+02  1.20e+04
76	16.49		385000		6.48e-04  1.67e+01  3.92e+02  1.23e+04
77	16.70		390000		6.48e-04  1.37e+01  3.76e+02  1.26e+04
43	12.75		220000		6.48e-04  6.42e+00  9.72e+01  2.80e+03
78	16.92		395000		6.48e-04  9.16e+00  2.58e+02  1.24e+04
79	17.17		400000		6.48e-04  1.08e+01  3.09e+02  1.24e+04
44	13.15		225000		6.48e-04  1.03e+01  2.54e+02  1.23e+04
80	17.38		405000		6.48e-04  1.21e+01  3.11e+02  1.18e+04
81	17.63		410000		6.48e-04  8.03e+00  2.53e+02  1.23e+04
45	13.55		230000		6.48e-04  9.09e+00  2.41e+02  1.18e+04
